total_participants, male, female 
528, 67.8, 32.2
1.894, 51.1, 48.9
512, 64.3, 35.7
648, 73.3, 26.7
800, 71.1, 28.9
1.265, 70.9, 29.1
12.012, 61.7, 38.3
2.777, 86.1, 13.9
76, 79.3, 20.7
131, 48.9, 51.1
362, 65.5, 34.5
-, -, -
1.904, 68.9, 31.1
3.189, 61.3, 38.7
3.978, 71.6, 28.4
238, 47.1, 53
97, 54.6, 45.4
494, 54.7, 45.3
128, 74.2, 25.8
109, 15.2, 84.8
222, 25.3, 74.7
204, 20.1, 79.9
736, 16.1, 84
149, 20.1, 79.9
12.623, 79.1, 20.9
1.535, 86.5, 13.6
124, 22.6, 77.4
1.520, 45.4, 54.6
969, 64.9, 35.1
1.482, 47, 54.7
892, 39.7, 60.4
388, 51.6, 48.5
1.099, 39.4, 60.6
680, 39.6, 60.4
691, 33.4, 66.6
799, 88.6, 11.4
-, -, -
68, 85.3, 14.8
955, 79.4, 20.6
593, 84.9, 15
215, 85.9, 14.2
-, -, -
710, 65.8, 34.2
-, -, -
147, 81, 19
3.740, 66.4, 33.6
158, 64.6, 35.5
-, -, -
1.242, 28.2, 71.8
620, 49.6, 50.4
7.226, 29.7, 70.4
-, -, -
1.206, 5.5, 94.6
531, 49.7, 50.2
201, 63.6, 36.4
-, -, -
144, 42.9, 57.1
219, 84, 16
1.051, 90.5, 9.4
83, 92, 8
-, -, -
174, 81, 19
182, 90.8, 9.1
156, 86.3, 13.6
-, -, -
1.505, 56.7, 43.3
421, 45.6, 54.4
1.862, 48.1, 51.8
2.136, 46.9, 53.1
1.425, 30.8, 69.6
1.914, 42, 58
14.010, 55.6, 44.4
1.054, 64.5, 35.5
3.882, 63.6, 36.3
2.087, 69.6, 30.4
5.882, 57.7, 42.3
1.718, 65.9, 34.1
1.823, 84.1, 15.9
1.910, 55.8, 44.2
2.701, 56.3, 43.7
722, 34.9, 65.1
-, -, -
400, 32.2, 67.8
737, 78.3, 21.7
2.640, 87.6, 12.4
60, 30, 70
84, 46.4, 53.6
2.178, 83.9, 16
70, 72.9, 27.1
61, 57.4, 42.6
80, 83.2, 16.7
268, 88.4, 11.6
2.540, 92.3, 7.6
624, 22.9, 77.1
286, 73.6, 26.4
-, -, -
196, 43.5, 56.6
112.386, 26.1, 73.9
470, 38.3, 61.7
578, 43.8, 56.2
5.202, 44.8, 55.3
-, -, -
473, 82.8, 17.2
-, -, -
373, 91.2, 8.7
617, 95, 5
260, 86, 14.1
2.245, 87.4, 12.5
541, 79, 21
93, 26.4, 73.7
256, 23.6, 76.4
-, -, -
1.496, 83.5, 16.5
-, -, -
-, -, -
1.151, 44.5, 55.5
130, 66.2, 33.8
76, 18.4, 81.6
164, 62.8, 37.2
-, -, -
-, -, -
267, 94.8, 5.2
1.519, 84.9, 15.1
908, 87.8, 12.2
390, 70.8, 29.2
2.499, 38.2, 61.7
6.738, 24.1, 75.9
1.734, 35.5, 64.8
852, 46.8, 53.2
5.487, 41.2, 58.8
-, -, -
-, -, -
434, 83, 17
642, 18.3, 81.8
567, 58.3, 41.8
425, 69.2, 30.8
280, 79.8, 20.2
-, -, -
15.152, 68.4, 31.6
206, 85.3, 14.7
67, 53.7, 46.3
210, 64.7, 35.2
-, -, -
-, -, -
105, 84.8, 15.2
143, 81.8, 18.2
4.166, 83.9, 16.2
360, 88.4, 11.7
1.341, 63, 37
-, -, -
61, 78.2, 21.8
492, 43.2, 56.9
246, 65.8, 34.2
255, 47.5, 52.5
-, -, -
508, 44.3, 55.7
194, 37.2, 62.8
511, 14.8, 85.2
1.748, 89.6, 10.4
179, 50.9, 49.2
351, 78.9, 21.1
262, 50.9, 49.2
289, 29.4, 70.6
568, 25.6, 74.5
202, 25.3, 74.8
1.228, 24.9, 75.1
431, 23.2, 76.8
125, 33.6, 66.4
1.954, 39.1, 60.9
510, 54.5, 45.5
2.475, 58.8, 41.2
614, 66, 34
1.272, 73.1, 26.9
851, 60.2, 39.8
6.656, 88.8, 11.2
11.430, 34.1, 65.9
2.468, 37.2, 62.8
299, 49.8, 50.5
2.733, 40.6, 59.4
6.282, 32.4, 67.6
2.764, 41.2, 58.8
69, 72.3, 27.7
228, 87.6, 12.4
317, 87.9, 12.1
101, 90.1, 9.9
52, 92.2, 7.8
994, 87, 13.4
-, -, -
2.986, 81.2, 18.8
1.773, 90.2, 9.9
1.598, 79.8, 20.2
388, 60.8, 39.2
788, 74.2, 25.8
331, 70.1, 29.9
306, 63.4, 36.6
1.748, 65.2, 34.8
3.549, 82.1, 19.1
398, 83.4, 16.6
-, -, -
1.572, 51.1, 49
1.476, 38.5, 61.5
19.293, 56.2, 43.8
51.088, 61.4, 38.6
36.344, 40.6, 59.5
5.438, 65, 35
24.477, 93.3, 6.7
118, 97.8, 2.2
98, 89.7, 10.3
1.490, 86.7, 13.9
14.249, 85.8, 14.2
10.838, 80.1, 19.9
635, 71.4, 28.6
4.034, 86.6, 13.4
1.114, 87.1, 13.5
127, 90.6, 9.4
1.036, 85.2, 14.8
1.139, 19.8, 82.1
1.008, 11.9, 88.1
62, 48, 52
452, 57.3, 42.7
194, 68, 31.9
1.029, 77.5, 22.5
249, 68.3, 31.7
2.687, 74.5, 25.4
1.075, 53.5, 46.5
381, 41.2, 58.8
897, 49.4, 50.6
350, 54, 46
106, 56.6, 43.4
3.124, 61.6, 38.4
103, 69, 31.1
160, 62.5, 37.5
1.266, 74.6, 25.4
149, 78.5, 21.5
433, 56.6, 43.4
224, 61.8, 38.2
450, 45.8, 54.2
-, -, -
507, 13.4, 86.6
567, 44.4, 55.6
427, 35, 65
199, 38.7, 61.3
-, -, -
109, 14.7, 85.3
1.184, 27.2, 72.8
306, 48.4, 51.6
624, 41.2, 58.7
272, 30.7, 69.3
611, 29.3, 70.7
356, 7.7, 92.8
51, 56.8, 43.3
31.307, 33.6, 66.3
-, -, -
263, 34.7, 65.3
163, 55.4, 44.6
56, 42.9, 57.1
332, 41, 59
70, 51.3, 48.7
82, 95.1, 4.9
792, 98.3, 1.6
2.419, 96.2, 3.8
81, 97.5, 2.5
211, 91.4, 8.5
840, 94.6, 5.6
1.816, 95.7, 4.5
171, 93.8, 7.8
657, 92.1, 7.8
865, 84.3, 15.8
890, 87.3, 12.6
259, 94.3, 5.7
79, 90.7, 9.3
13.876, 52.5, 47.5
119, 50.3, 49.7
129, 15.2, 84.8
9.081, 39.6, 60.4
150, 37.7, 62.3
109, 72.7, 27.3
492, 78.4, 21.6
138, 92.7, 7.3
-, -, -
-, -, -
471, 80, 20
55, 38.4, 61.6
1.720, 42.7, 57.3
652, 63, 37
-, -, -
316, 55.8, 44.1
350, 28.6, 71.4
262, 34.4, 65.6
-, -, -
11.627, 36.5, 63.5
601, 51.8, 48.2
712, 57.9, 42.1
490, 24.5, 75.5
1.017, 26.2, 73.8
1.039, 85.1, 14.9
1.088, 91.5, 8.6
136, 85.1, 14.9
336, 86, 14
1.264, 82.9, 17.1
102, 7.9, 92.2
1.942, 12.6, 87.4
598, 43.6, 56.3
5.957, 18.7, 81.2
4.278, 9.1, 90.9
220, 67, 33
460, 23, 76.9
6.326, 69.1, 30.9
56, 52.4, 47.6
100, 90, 10
301, 88.7, 11.3
5.999, 89.3, 10.7
274, 60.7, 39.3
3.318, 49.2, 50.7
9.884, 30.6, 69.5
103.879, 31.4, 68.6
15.131, 62.9, 37.1
739, 26, 74.9
34.196, 39.4, 60.7
2.296, 38.4, 61.6
9.282, 45.1, 54.8
2.767, 62.5, 37.6
7.056, 40.6, 59.4
278, 48.6, 51.4
2.414, 46.3, 53.8
-, -, -
204, 70.6, 29.4
3.159, 82.9, 17.1
52, 70.5, 29.5
122, 82.1, 17.9
22.107, 57.8, 42.2
11.968, 75.6, 24.4
-, -, -
17.287, 39.1, 61
381, 40.7, 59.3
99, 43.4, 56.6
3.560, 26.7, 73.3
8.144, 31.7, 68.3
2.688, 19.7, 80.3
55.916, 33.2, 66.8
338, 83.7, 16.3
4.162, 40.6, 59.4
-, -, -
-, -, -
-, -, -
246, 94.3, 5.7
494, 93.3, 6.7
-, -, -
393, 33, 67
242, 33.2, 66.8
-, -, -
-, -, -
-, -, -
51, 18.5, 81.5
305, 54, 45.9
133, 30.1, 69.9
-, -, -
404, 34.2, 65.8
1.728, 31, 68.9
2.010, 54.7, 45.3
9.001, 8.2, 91.8
801, 37.8, 62.2
-, -, -
213, 51.8, 49.9
2.427, 56.5, 43.5
795, 79.2, 20.8
72, 81.8, 18.3
1.554, 64.7, 35.3
4.563, 77.6, 22.4
5.092, 60.2, 39.8
953, 76.6, 23.4
2.888, 53.7, 46.3
2.158, 54.2, 45.9
29.969, 77.7, 22.3
592, 71, 29
101, 63.4, 36.6
1.565, 39.3, 60.7
-, -, -
171, 28.1, 71.9
738, 64.7, 35.3
-, -, -
220, 65.6, 34.4
899, 62.3, 37.7
73, 33.5, 66.5
83, 34.7, 66
233, 39, 61.1
114, 50.4, 49.6
-, -, -
174, 89.6, 10.4
-, -, -
1.139, 72.3, 28.6
2.950, 92.2, 7.8
98, 89.7, 10.3
835, 92.5, 7.5
1.043, 93.5, 6.5
621, 91.2, 8.8
233, 78.7, 21.3
3.128, 79.9, 20
-, -, -
-, -, -
-, -, -
219, 91, 9
2.788, 57.5, 42.5
6.035, 46.4, 53.6
1.083, 56.1, 43.9
55.487, 30.1, 69.9
4.956, 42.2, 57.8
62.582, 20.6, 79.4
256, 51.9, 48.1
10.313, 90, 10
-, -, -
4.031, 50, 50.1
1.656, 70.2, 29.8
112, 42.9, 57.1
122, 40.9, 59
788, 24.5, 75.5
-, -, -
199, 51.2, 50.2
300, 33.6, 66.3
481, 58.1, 41.8
3.165, 68.6, 32.7
10.284, 77.9, 22.1
-, -, -
462, 24.7, 75.3
4.718, 60.4, 39.6
3.651, 45.9, 54.2
202, 54, 46
146, 22.5, 77.5
93, 43.4, 56.6
52, 28.1, 71.9
237, 34.7, 65.3
330, 65.5, 34.5
-, -, -
2.663, 63, 37
455, 42.9, 57.1
2.900, 51.4, 48.6
2.630, 65.1, 34.9
-, -, -
-, -, -
325, 78.2, 23.2
2.907, 28.9, 71.1
502, 35.5, 64.6
92, 22.8, 77.2
408, 92.2, 7.9
-, -, -
1.277, 9.7, 90.4
812, 90, 10
64, 67.1, 32.9
339, 18.3, 81.7
1.431, 71.2, 28.7
3.107, 38.6, 61.3
1.374, 71.2, 28.8
2.599, 56.8, 43.2
2.059, 53.1, 46.9
220, 52.7, 47.3
10.632, 90.9, 9.2
104, 77.2, 22.8
2.172, 68.8, 31.1
-, -, -
-, -, -
-, -, -
-, -, -
423, 48, 52
1.679, 60.3, 39.7
4.209, 84.3, 15.7
349, 55, 45
190, 67.7, 32.3
3.609, 36.3, 63.6
1.840, 50.4, 49.5
303, 54.8, 45.2
458, 79, 21
252, 77.8, 22.2
744, 40.5, 59.5
13.440, 76.9, 23.8
8.897, 74.2, 25.7
762, 63, 38.6
5.956, 60.8, 39.2
588, 75.1, 24.8
6.551, 61.1, 38.8
-, -, -
875, 55.5, 44.6
80, 48.5, 51.4
-, -, -
464, 19.5, 80.6
228, 44.6, 55.4
6.304, 17.1, 82.9
2.022, 28.9, 71.1
189, 22.6, 78.7
2.381, 87.8, 12.2
140, 88.4, 11.5
107, 30.4, 69.6
1.010, 13.2, 86.9
7.431, 48, 52
2.497, 45.2, 54.8
468, 53.5, 46.5
1.096, 39.4, 60.6
700, 45, 55
2.194, 38.3, 61.7
-, -, -
272, 28.5, 71.5
9.175, 19.9, 80.1
3.747, 25.8, 74.2
121, 67.8, 32.2
668, 45.4, 54.6
521, 41.2, 58.7
475, 39.9, 60.1
470, 26.1, 73.9
460, 57, 44.6
61, 45.9, 54.1
253, 65.2, 34.8
32.075, 47.5, 52.5
1.887, 18, 82
3.353, 81, 19
469, 32.1, 67.9
1.086, 27.5, 72.5
9.988, 62.5, 37.5
68, 91.2, 8.8
63, 93.7, 6.3
-, -, -
72, 40.3, 59.7
126, 65.9, 34.1
110, 91.8, 8.2
89, 34.8, 65.2
213, 51.2, 48.9
-, -, -
359, 56.4, 43.6
302, 57.3, 42.7
511, 9, 91
